:Data_list: ace_swepam_1m.txt
:Created: 2018 Feb 04 0949 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2018 02 04  0749   58153   28140    0        2.3      319.1     1.42e+04
2018 02 04  0750   58153   28200    0        2.1      319.1     1.54e+04
2018 02 04  0751   58153   28260    0        2.2      319.3     1.50e+04
2018 02 04  0752   58153   28320    0        2.2      319.9     1.60e+04
2018 02 04  0753   58153   28380    0        2.2      320.0     1.62e+04
2018 02 04  0754   58153   28440    0        2.2      318.9     1.52e+04
2018 02 04  0755   58153   28500    0        2.6      318.3     1.55e+04
2018 02 04  0756   58153   28560    0        2.5      319.2     1.65e+04
2018 02 04  0757   58153   28620    0        2.2      319.6     1.63e+04
2018 02 04  0758   58153   28680    0        2.2      318.9     1.56e+04
2018 02 04  0759   58153   28740    0        2.0      319.4     1.61e+04
2018 02 04  0800   58153   28800    0        2.2      319.2     1.64e+04
2018 02 04  0801   58153   28860    0        2.4      318.8     1.58e+04
2018 02 04  0802   58153   28920    0        2.5      318.1     1.33e+04
2018 02 04  0803   58153   28980    0        2.1      317.7     1.37e+04
2018 02 04  0804   58153   29040    0        2.7      318.0     1.50e+04
2018 02 04  0805   58153   29100    0        2.4      316.8     1.47e+04
2018 02 04  0806   58153   29160    0        2.9      317.0     1.60e+04
2018 02 04  0807   58153   29220    0        2.5      317.4     2.00e+04
2018 02 04  0808   58153   29280    0        2.4      318.1     1.56e+04
2018 02 04  0809   58153   29340    0        2.4      317.0     1.62e+04
2018 02 04  0810   58153   29400    0        2.4      315.8     1.67e+04
2018 02 04  0811   58153   29460    0        2.3      316.1     1.75e+04
2018 02 04  0812   58153   29520    0        2.6      317.4     1.66e+04
2018 02 04  0813   58153   29580    0        2.7      317.9     1.47e+04
2018 02 04  0814   58153   29640    0        2.5      317.8     1.39e+04
2018 02 04  0815   58153   29700    3    -9999.9    -9999.9    -1.00e+05
2018 02 04  0816   58153   29760    3    -9999.9    -9999.9    -1.00e+05
2018 02 04  0817   58153   29820    0        2.5      318.2     1.63e+04
2018 02 04  0818   58153   29880    0        2.6      317.2     1.77e+04
2018 02 04  0819   58153   29940    0        2.7      317.2     1.72e+04
2018 02 04  0820   58153   30000    0        2.6      318.5     1.84e+04
2018 02 04  0821   58153   30060    0        3.1      318.0     1.43e+04
2018 02 04  0822   58153   30120    0        3.0      318.0     1.78e+04
2018 02 04  0823   58153   30180    0        2.8      319.0     1.52e+04
2018 02 04  0824   58153   30240    0        2.5      319.4     1.55e+04
2018 02 04  0825   58153   30300    0        2.5      319.4     1.41e+04
2018 02 04  0826   58153   30360    0        2.5      319.1     1.50e+04
2018 02 04  0827   58153   30420    0        2.7      319.6     1.41e+04
2018 02 04  0828   58153   30480    0        2.7      319.9     1.38e+04
2018 02 04  0829   58153   30540    0        2.6      319.8     1.45e+04
2018 02 04  0830   58153   30600    0        2.6      318.0     1.54e+04
2018 02 04  0831   58153   30660    0        2.6      318.2     1.56e+04
2018 02 04  0832   58153   30720    0        2.3      318.4     1.61e+04
2018 02 04  0833   58153   30780    0        2.2      317.5     1.63e+04
2018 02 04  0834   58153   30840    0        2.7      318.1     1.52e+04
2018 02 04  0835   58153   30900    0        2.2      317.9     1.61e+04
2018 02 04  0836   58153   30960    0        2.5      320.0     1.38e+04
2018 02 04  0837   58153   31020    0        2.4      317.4     1.55e+04
2018 02 04  0838   58153   31080    0        2.9      318.7     1.52e+04
2018 02 04  0839   58153   31140    0        2.3      318.6     1.53e+04
2018 02 04  0840   58153   31200    0        2.7      318.7     1.25e+04
2018 02 04  0841   58153   31260    0        2.6      318.6     1.40e+04
2018 02 04  0842   58153   31320    0        2.4      318.2     1.39e+04
2018 02 04  0843   58153   31380    0        2.4      318.5     1.39e+04
2018 02 04  0844   58153   31440    0        2.5      318.8     1.33e+04
2018 02 04  0845   58153   31500    0        2.5      318.2     1.39e+04
2018 02 04  0846   58153   31560    0        2.6      318.3     1.49e+04
2018 02 04  0847   58153   31620    0        2.9      319.7     1.40e+04
2018 02 04  0848   58153   31680    3    -9999.9    -9999.9    -1.00e+05
2018 02 04  0849   58153   31740    3    -9999.9    -9999.9    -1.00e+05
2018 02 04  0850   58153   31800    0        2.7      318.8     1.45e+04
2018 02 04  0851   58153   31860    0        2.5      319.2     1.04e+04
2018 02 04  0852   58153   31920    0        2.5      317.7     1.33e+04
2018 02 04  0853   58153   31980    0        2.8      317.6     1.40e+04
2018 02 04  0854   58153   32040    0        2.2      318.4     1.43e+04
2018 02 04  0855   58153   32100    0        2.7      318.3     1.24e+04
2018 02 04  0856   58153   32160    0        2.9      317.7     1.46e+04
2018 02 04  0857   58153   32220    0        2.9      318.0     1.30e+04
2018 02 04  0858   58153   32280    0        2.5      317.8     1.33e+04
2018 02 04  0859   58153   32340    0        2.4      317.8     1.43e+04
2018 02 04  0900   58153   32400    0        2.4      317.3     1.43e+04
2018 02 04  0901   58153   32460    0        2.5      317.0     1.37e+04
2018 02 04  0902   58153   32520    0        2.5      317.0     1.35e+04
2018 02 04  0903   58153   32580    0        2.2      317.3     1.40e+04
2018 02 04  0904   58153   32640    0        2.3      318.2     1.47e+04
2018 02 04  0905   58153   32700    0        2.1      316.7     1.55e+04
2018 02 04  0906   58153   32760    0        2.3      317.0     1.83e+04
2018 02 04  0907   58153   32820    0        1.9      319.6     1.67e+04
2018 02 04  0908   58153   32880    0        2.8      315.8     1.44e+04
2018 02 04  0909   58153   32940    0        2.0      311.7    -1.00e+05
2018 02 04  0910   58153   33000    0        2.2      315.8     1.39e+04
2018 02 04  0911   58153   33060    0        2.4      317.3     1.59e+04
2018 02 04  0912   58153   33120    0        2.4      319.1     1.38e+04
2018 02 04  0913   58153   33180    0        1.9      321.8     1.76e+04
2018 02 04  0914   58153   33240    0        2.0      320.6     1.75e+04
2018 02 04  0915   58153   33300    0        2.0      320.0     1.73e+04
2018 02 04  0916   58153   33360    0        2.0      320.1     1.70e+04
2018 02 04  0917   58153   33420    0        1.9      319.8     1.65e+04
2018 02 04  0918   58153   33480    0        1.8      319.5     1.52e+04
2018 02 04  0919   58153   33540    0        2.0      319.2     1.42e+04
2018 02 04  0920   58153   33600    0        2.2      318.6     1.58e+04
2018 02 04  0921   58153   33660    3    -9999.9    -9999.9    -1.00e+05
2018 02 04  0922   58153   33720    3    -9999.9    -9999.9    -1.00e+05
2018 02 04  0923   58153   33780    0        1.8      317.5     2.17e+04
2018 02 04  0924   58153   33840    0        2.1      317.2     2.00e+04
2018 02 04  0925   58153   33900    0        2.2      317.5     1.65e+04
2018 02 04  0926   58153   33960    0        2.0      318.5     1.26e+04
2018 02 04  0927   58153   34020    0        2.0      316.8     1.45e+04
2018 02 04  0928   58153   34080    0        1.8      319.0     1.16e+04
2018 02 04  0929   58153   34140    0        2.1      318.1     1.20e+04
2018 02 04  0930   58153   34200    0        2.2      317.0     1.28e+04
2018 02 04  0931   58153   34260    1        2.0      317.1     1.39e+04
2018 02 04  0932   58153   34320    0        2.1      317.5     1.42e+04
2018 02 04  0933   58153   34380    0        2.2      317.4     1.25e+04
2018 02 04  0934   58153   34440    0        2.0      318.3     1.11e+04
2018 02 04  0935   58153   34500    0        2.0      318.9     1.13e+04
2018 02 04  0936   58153   34560    0        2.3      317.6     1.18e+04
2018 02 04  0937   58153   34620    0        2.0      318.8     1.22e+04
2018 02 04  0938   58153   34680    1        2.1      317.5     1.34e+04
2018 02 04  0939   58153   34740    1        2.1      318.4     1.17e+04
2018 02 04  0940   58153   34800    0        2.0      317.6     1.45e+04
